application_id,job_id,apply_date,source,screening_score,final_stage,decision_date,outcome
1,149,2023-05-27,Indeed,82,applied,2023-05-28,Rejected
2,73,2023-08-03,Agency,59,accepted,2023-09-01,Hired
3,56,2023-10-06,Campus,100,applied,2023-10-14,Rejected
4,157,2023-05-31,LinkedIn,66,accepted,2023-07-20,Hired
5,71,2023-05-18,Agency,100,applied,2023-05-30,Rejected
6,141,2023-09-19,Referral,55,applied,2023-09-20,Rejected
7,83,2023-07-11,LinkedIn,59,screen,2023-08-07,Rejected
8,106,2023-08-08,Referral,34,applied,2023-08-22,Rejected
9,79,2023-06-16,LinkedIn,79,onsite,2023-07-19,Rejected
10,88,2023-08-23,LinkedIn,81,applied,2023-08-30,Rejected
11,109,2023-06-27,Campus,56,applied,2023-07-02,Rejected
12,134,2023-06-15,Referral,69,onsite,2023-08-01,Rejected
13,53,2023-08-18,LinkedIn,82,applied,2023-08-27,Rejected
14,137,2023-09-04,LinkedIn,100,applied,2023-09-15,Rejected
15,119,2023-08-23,Campus,79,applied,2023-08-25,Rejected
16,104,2023-03-14,Career Site,89,screen,2023-03-29,Rejected
17,101,2023-08-17,Referral,60,applied,2023-08-30,Rejected
18,176,2023-08-30,Agency,70,screen,2023-09-18,Rejected
19,152,2023-06-29,Indeed,76,screen,2023-07-11,Rejected
20,133,2023-06-16,Campus,44,onsite,2023-07-04,Rejected
21,80,2023-07-19,LinkedIn,67,onsite,2023-08-11,Rejected
22,87,2023-05-01,LinkedIn,67,applied,2023-05-02,Rejected
23,106,2023-11-03,LinkedIn,70,applied,2023-11-13,Rejected
24,1,2023-11-14,Referral,61,applied,2023-11-25,Rejected
25,133,2023-06-07,Career Site,55,onsite,2023-07-12,Rejected
26,117,2023-07-04,LinkedIn,60,screen,2023-07-21,Rejected
27,31,2023-07-23,Indeed,86,applied,2023-08-05,Rejected
28,122,2023-08-06,Indeed,47,applied,2023-08-07,Rejected
29,31,2023-06-10,Indeed,61,applied,2023-06-22,Rejected
30,27,2023-08-02,Referral,77,applied,2023-08-04,Rejected
31,12,2023-08-16,Career Site,59,screen,2023-09-01,Rejected
32,142,2023-04-03,LinkedIn,44,screen,2023-04-19,Rejected
33,8,2023-09-10,Referral,65,onsite,2023-10-16,Rejected
34,166,2023-08-13,Indeed,93,applied,2023-08-26,Rejected
35,96,2023-09-07,Referral,69,screen,2023-09-27,Rejected
36,116,2023-09-05,Agency,80,onsite,2023-10-07,Rejected
37,46,2023-12-15,LinkedIn,21,screen,2024-01-07,Rejected
38,179,2023-07-20,LinkedIn,73,applied,2023-07-27,Rejected
39,101,2023-09-04,Career Site,77,applied,2023-09-11,Rejected
40,96,2023-06-04,LinkedIn,82,screen,2023-06-20,Rejected
41,123,2023-05-02,Referral,60,applied,2023-05-15,Rejected
42,80,2023-05-07,Career Site,47,screen,2023-05-27,Rejected
43,42,2023-12-29,Referral,44,offer,2024-02-06,Rejected
44,29,2023-04-06,Career Site,56,applied,2023-04-20,Rejected
45,50,2023-08-01,Referral,47,screen,2023-08-25,Rejected
46,50,2023-06-23,Referral,39,applied,2023-06-30,Rejected
47,143,2023-04-21,LinkedIn,64,screen,2023-05-05,Rejected
48,40,2023-09-26,Referral,62,onsite,2023-10-28,Rejected
49,120,2023-07-04,Indeed,54,onsite,2023-08-19,Rejected
50,56,2023-07-25,Referral,83,applied,2023-08-01,Rejected
51,86,2023-05-02,Referral,68,screen,2023-05-10,Rejected
52,128,2023-07-18,Career Site,56,screen,2023-07-25,Rejected
