employee_id,survey_date,eNPS,manager_effectiveness,growth,workload,intent_to_stay
1001,2024-05-01,80,3,1,3,2
1001,2024-11-01,1,3,2,2,4
1001,2025-05-01,91,3,4,4,2
1002,2024-05-01,-49,3,3,4,2
1002,2024-11-01,-31,4,4,3,1
1002,2025-05-01,-50,3,2,3,3
1003,2024-05-01,-29,2,3,2,3
1003,2024-11-01,10,2,3,2,2
1003,2025-05-01,4,1,1,3,3
1004,2024-05-01,-68,2,2,2,3
1004,2024-11-01,21,3,5,4,4
1004,2025-05-01,-21,3,2,1,3
1005,2024-05-01,2,5,2,1,3
1005,2024-11-01,-2,1,2,3,2
1005,2025-05-01,46,3,3,4,4
1006,2024-05-01,-12,5,1,3,3
1006,2024-11-01,10,4,2,1,1
1006,2025-05-01,12,3,3,2,3
1007,2024-05-01,45,3,1,2,4
1007,2024-11-01,8,3,2,4,2
1007,2025-05-01,58,3,3,5,3
1008,2024-05-01,-22,4,4,3,3
1008,2024-11-01,-41,4,2,5,3
1008,2025-05-01,-27,3,2,3,2
1009,2024-05-01,18,2,2,3,5
1009,2024-11-01,23,2,3,2,2
1009,2025-05-01,0,4,3,2,5
1010,2024-05-01,113,3,2,3,4
1010,2024-11-01,-8,3,3,3,3
1010,2025-05-01,-20,2,3,3,3
1011,2024-05-01,38,3,3,1,4
1011,2024-11-01,92,3,3,1,4
1011,2025-05-01,-34,3,4,1,3
1012,2024-11-01,-24,4,3,3,2
1012,2025-05-01,48,4,2,2,5
1013,2024-05-01,-7,3,4,3,1
1013,2024-11-01,29,2,3,1,3
1013,2025-05-01,27,3,2,2,3
1014,2024-05-01,-23,3,4,3,5
1014,2024-11-01,24,2,2,2,4
1014,2025-05-01,6,5,3,1,3
1015,2024-05-01,-38,2,1,2,3
1015,2024-11-01,-20,3,3,3,3
1015,2025-05-01,15,4,2,1,3
1016,2024-05-01,32,3,3,3,4
1016,2024-11-01,-26,3,2,3,2
1016,2025-05-01,-18,4,3,3,3
1017,2024-05-01,-18,4,2,2,4
1017,2024-11-01,1,1,4,2,4
1017,2025-05-01,6,5,2,3,2
1018,2024-05-01,39,3,3,3,2
1018,2024-11-01,61,3,2,3,4
1018,2025-05-01,7,2,2,3,4
1019,2024-05-01,-16,2,3,4,5
1019,2024-11-01,-15,3,2,2,3
1019,2025-05-01,19,4,4,1,3
1020,2024-05-01,33,3,5,4,4
1020,2024-11-01,24,2,2,3,3
1020,2025-05-01,77,2,5,3,3
1021,2024-05-01,6,2,4,1,4
1021,2024-11-01,-7,3,4,3,4
1021,2025-05-01,34,4,1,5,3
