employee_id,period,rating,manager_id
1001,2023H2,5,1028
1001,2024H1,5,1028
1001,2024H2,4,1028
1001,2025H1,3,1028
1002,2023H2,3,1050
1002,2024H1,3,1050
1002,2024H2,3,1050
1002,2025H1,4,1050
1003,2023H2,1,1067
1003,2024H1,3,1067
1003,2024H2,3,1067
1003,2025H1,3,1067
1004,2023H2,3,1099
1004,2024H1,1,1099
1004,2024H2,4,1099
1004,2025H1,3,1099
1005,2023H2,3,1085
1005,2024H1,4,1085
1005,2024H2,3,1085
1005,2025H1,4,1085
1006,2023H2,3,1063
1006,2024H1,3,1063
1006,2024H2,4,1063
1006,2025H1,3,1063
1007,2023H2,3,1027
1007,2024H1,4,1027
1007,2024H2,5,1027
1007,2025H1,4,1027
1008,2023H2,3,1078
1008,2024H1,4,1078
1008,2024H2,4,1078
1008,2025H1,3,1078
1009,2023H2,4,1055
1009,2024H1,2,1055
1009,2024H2,3,1055
1009,2025H1,3,1055
1010,2023H2,3,1069
1010,2024H1,4,1069
1010,2024H2,4,1069
1010,2025H1,3,1069
1011,2023H2,3,1041
1011,2024H1,3,1041
1011,2024H2,4,1041
1011,2025H1,2,1041
1012,2024H1,5,1070
1012,2024H2,2,1070
1012,2025H1,3,1070
1013,2023H2,3,1011
1013,2024H1,4,1011
1013,2024H2,4,1011
1013,2025H1,3,1011
1014,2024H1,3,1107
1014,2024H2,3,1107
1014,2025H1,5,1107
1015,2023H2,2,1049
1015,2024H1,4,1049
1015,2024H2,3,1049
1015,2025H1,2,1049
1016,2023H2,5,1050
1016,2024H1,4,1050
1016,2024H2,3,1050
1016,2025H1,4,1050
1017,2023H2,4,1041
1017,2024H1,2,1041
1017,2024H2,4,1041
1017,2025H1,3,1041
1018,2023H2,3,1089
1018,2024H1,4,1089
1018,2024H2,4,1089
1018,2025H1,3,1089
1019,2023H2,2,1073
1019,2024H1,3,1073
1019,2024H2,3,1073
1019,2025H1,3,1073
1020,2023H2,3,1051
1020,2024H1,3,1051
1020,2024H2,4,1051
1020,2025H1,3,1051
1021,2023H2,3,1102
1021,2024H1,3,1102
1021,2024H2,3,1102
1021,2025H1,2,1102
1022,2023H2,3,1017
1022,2024H1,2,1017
1022,2024H2,2,1017
1022,2025H1,3,1017
1023,2023H2,4,1109
1023,2024H1,4,1109
1023,2024H2,4,1109
1023,2025H1,2,1109
1024,2023H2,4,1052
1024,2024H1,4,1052
1024,2024H2,3,1052
1024,2025H1,4,1052
1025,2023H2,3,1005
1025,2024H1,4,1005
1025,2024H2,3,1005
1025,2025H1,4,1005
1026,2024H1,4,1010
1026,2024H2,3,1010
1026,2025H1,4,1010
1027,2023H2,2,1104
1027,2024H1,3,1104
1027,2024H2,3,1104
1027,2025H1,2,1104
1028,2023H2,4,1084
1028,2024H1,4,1084
1028,2024H2,3,1084
1028,2025H1,3,1084
1029,2023H2,3,1017
1029,2024H1,2,1017
1029,2024H2,3,1017
1029,2025H1,4,1017
1030,2023H2,2,1020
1030,2024H1,4,1020
1030,2024H2,5,1020
1030,2025H1,4,1020
1031,2023H2,4,1015
1031,2024H1,3,1015
1031,2024H2,4,1015
1031,2025H1,4,1015
1032,2023H2,5,1036
1032,2024H1,3,1036
1032,2024H2,3,1036
1032,2025H1,3,1036
1033,2023H2,3,1084
1033,2024H1,3,1084
1033,2024H2,3,1084
1033,2025H1,4,1084
1034,2023H2,2,1079
1034,2024H1,3,1079
1034,2024H2,2,1079
1034,2025H1,2,1079
1035,2023H2,2,1088
1035,2024H1,3,1088
1035,2024H2,3,1088
1035,2025H1,3,1088
1036,2023H2,4,1054
1036,2024H1,3,1054
1036,2024H2,3,1054
1036,2025H1,2,1054
1037,2023H2,3,1072
1037,2024H1,4,1072
1037,2024H2,3,1072
1037,2025H1,3,1072
1038,2023H2,3,1053
1038,2024H1,3,1053
1038,2024H2,4,1053
1038,2025H1,3,1053
1039,2023H2,3,1075
1039,2024H1,5,1075
1039,2024H2,4,1075
1039,2025H1,4,1075
1040,2023H2,4,1081
1040,2024H1,5,1081
1040,2024H2,3,1081
1040,2025H1,2,1081
1041,2023H2,4,1099
1041,2024H1,3,1099
1041,2024H2,2,1099
1041,2025H1,3,1099
1042,2023H2,3,1061
1042,2024H1,3,1061
1042,2024H2,4,1061
1042,2025H1,4,1061
1043,2023H2,5,1018
1043,2024H1,5,1018
1043,2024H2,3,1018
1043,2025H1,3,1018
1044,2023H2,3,1070
1044,2024H1,4,1070
1044,2024H2,3,1070
1044,2025H1,4,1070
1045,2023H2,2,1053
1045,2024H1,2,1053
1045,2024H2,2,1053
1045,2025H1,3,1053
1046,2023H2,3,1059
1046,2024H1,2,1059
1046,2024H2,4,1059
1046,2025H1,3,1059
1047,2023H2,3,1002
1047,2024H1,3,1002
1047,2024H2,4,1002
1047,2025H1,3,1002
1048,2023H2,4,1046
1048,2024H1,4,1046
